ENSP00000291295,ENSP00000481156
ENSP00000052569,ENSP00000353377
ENSP00000304987,ENSP00000325414
ENSP00000215375,ENSP00000359989
ENSP00000362353,ENSP00000462298
ENSP00000258302,ENSP00000446416
ENSP00000239215,ENSP00000307954
ENSP00000332690,ENSP00000343246
ENSP00000324740,ENSP00000344544
ENSP00000216540,ENSP00000260282
ENSP00000221972,ENSP00000417175
ENSP00000262238,ENSP00000344420
ENSP00000335565,ENSP00000367134
ENSP00000321475,ENSP00000366950
ENSP00000306788,ENSP00000443216
ENSP00000348440,ENSP00000465075
ENSP00000275072,ENSP00000366800
ENSP00000321475,ENSP00000386453
ENSP00000340176,ENSP00000429848
ENSP00000244769,ENSP00000256460
ENSP00000289382,ENSP00000321684
ENSP00000261017,ENSP00000365458
ENSP00000292852,ENSP00000358034
ENSP00000306080,ENSP00000349143
ENSP00000233331,ENSP00000287701
ENSP00000254101,ENSP00000366306
ENSP00000357674,ENSP00000361337
ENSP00000364926,ENSP00000387157
ENSP00000372299,ENSP00000377769
ENSP00000389175,ENSP00000476265
ENSP00000263726,ENSP00000378830
ENSP00000348099,ENSP00000365431
ENSP00000397913,ENSP00000404232
ENSP00000363416,ENSP00000436679
ENSP00000221200,ENSP00000289865
ENSP00000215565,ENSP00000311319
ENSP00000252506,ENSP00000295701
ENSP00000333064,ENSP00000381009
ENSP00000354028,ENSP00000365505
ENSP00000226230,ENSP00000230685
ENSP00000221996,ENSP00000257940
ENSP00000263925,ENSP00000407368
ENSP00000225441,ENSP00000444747
ENSP00000263925,ENSP00000318154
ENSP00000341358,ENSP00000443164
ENSP00000292254,ENSP00000407135
ENSP00000232508,ENSP00000363396
ENSP00000363396,ENSP00000372299
ENSP00000221978,ENSP00000359222
ENSP00000296449,ENSP00000349465
ENSP00000384495,ENSP00000416970
ENSP00000247668,ENSP00000457438
ENSP00000274712,ENSP00000355299
ENSP00000254868,ENSP00000350409
ENSP00000260130,ENSP00000356056
ENSP00000302833,ENSP00000358831
ENSP00000222547,ENSP00000309432
ENSP00000360811,ENSP00000368805
ENSP00000244520,ENSP00000340176
ENSP00000301464,ENSP00000311319
ENSP00000315212,ENSP00000328515
ENSP00000368858,ENSP00000482259
ENSP00000302476,ENSP00000358081
ENSP00000297679,ENSP00000386453
ENSP00000370746,ENSP00000409225
ENSP00000229563,ENSP00000371348
ENSP00000356480,ENSP00000478970
ENSP00000310880,ENSP00000358238
ENSP00000263849,ENSP00000384183
ENSP00000360437,ENSP00000365505
ENSP00000278422,ENSP00000307859
ENSP00000329548,ENSP00000432456
ENSP00000285208,ENSP00000349351
ENSP00000216115,ENSP00000267953
ENSP00000343819,ENSP00000480291
ENSP00000252252,ENSP00000347823
ENSP00000221996,ENSP00000404432
ENSP00000230321,ENSP00000270014
ENSP00000298681,ENSP00000311165
ENSP00000337178,ENSP00000443021
ENSP00000381821,ENSP00000392407
ENSP00000365816,ENSP00000420588
ENSP00000265138,ENSP00000352676
ENSP00000282570,ENSP00000477877
ENSP00000444747,ENSP00000480856
ENSP00000305449,ENSP00000343246
ENSP00000257765,ENSP00000261776
ENSP00000392189,ENSP00000406220
ENSP00000386219,ENSP00000485108
ENSP00000259254,ENSP00000320247
ENSP00000294338,ENSP00000489859
ENSP00000215742,ENSP00000370186
ENSP00000269385,ENSP00000378503
ENSP00000311399,ENSP00000356150
ENSP00000393847,ENSP00000475676
ENSP00000378284,ENSP00000383160
ENSP00000320247,ENSP00000479708
ENSP00000327054,ENSP00000478697
ENSP00000395389,ENSP00000473159
ENSP00000247668,ENSP00000381150
ENSP00000298125,ENSP00000306788
ENSP00000417580,ENSP00000417580
ENSP00000350704,ENSP00000457354
ENSP00000370800,ENSP00000375482
ENSP00000336856,ENSP00000362590
ENSP00000349503,ENSP00000435096
ENSP00000314625,ENSP00000376523
ENSP00000222224,ENSP00000377558
ENSP00000293778,ENSP00000481956
ENSP00000308733,ENSP00000370568
ENSP00000251645,ENSP00000261799
ENSP00000227525,ENSP00000356864
ENSP00000260187,ENSP00000349465
ENSP00000370126,ENSP00000424123
ENSP00000346892,ENSP00000424123
ENSP00000230321,ENSP00000331062
ENSP00000452142,ENSP00000476821
ENSP00000216115,ENSP00000319883
ENSP00000234111,ENSP00000486158
ENSP00000356465,ENSP00000480240
ENSP00000083182,ENSP00000342628
ENSP00000307567,ENSP00000377989
ENSP00000286544,ENSP00000417931
ENSP00000302701,ENSP00000358814
ENSP00000233813,ENSP00000360312
ENSP00000335287,ENSP00000360379
ENSP00000248879,ENSP00000457354
ENSP00000241001,ENSP00000389714
ENSP00000262041,ENSP00000287706
ENSP00000348440,ENSP00000357051
ENSP00000320869,ENSP00000335565
ENSP00000296122,ENSP00000331065
ENSP00000286713,ENSP00000358510
ENSP00000292254,ENSP00000416970
ENSP00000349156,ENSP00000367164
ENSP00000291560,ENSP00000475676
ENSP00000355866,ENSP00000375429
ENSP00000273905,ENSP00000401139
ENSP00000330836,ENSP00000335565
ENSP00000340811,ENSP00000366225
ENSP00000353719,ENSP00000451774
ENSP00000311319,ENSP00000369232
ENSP00000230122,ENSP00000413976
ENSP00000324740,ENSP00000337853
ENSP00000253083,ENSP00000384421
ENSP00000351446,ENSP00000374359
ENSP00000382592,ENSP00000392189
ENSP00000278422,ENSP00000344166
ENSP00000335651,ENSP00000344129
ENSP00000282928,ENSP00000335565
ENSP00000340983,ENSP00000361617
ENSP00000262570,ENSP00000329448
ENSP00000256433,ENSP00000387203
ENSP00000230321,ENSP00000357597
ENSP00000334113,ENSP00000352270
ENSP00000324464,ENSP00000340797
ENSP00000355245,ENSP00000379175
ENSP00000253693,ENSP00000261632
ENSP00000357776,ENSP00000481610
ENSP00000386093,ENSP00000446172
ENSP00000231524,ENSP00000270066
ENSP00000335660,ENSP00000441197
ENSP00000264234,ENSP00000352064
ENSP00000345195,ENSP00000362472
ENSP00000334560,ENSP00000386482
ENSP00000231749,ENSP00000370186
ENSP00000309439,ENSP00000318914
ENSP00000260385,ENSP00000477619
ENSP00000302701,ENSP00000392189
ENSP00000291560,ENSP00000380354
ENSP00000313881,ENSP00000361465
ENSP00000365309,ENSP00000365442
ENSP00000222402,ENSP00000444357
ENSP00000362170,ENSP00000477877
ENSP00000216117,ENSP00000324775
ENSP00000238983,ENSP00000262041
ENSP00000216540,ENSP00000344021
