A0A087WXN0,P0DP25
Q68D86-1,Q9HD26-2
Q13515,Q9UJW9
P30049,Q05519-2
P0DPK4,P43220
P57771-2,Q8TAS1-2
Q12981-4,Q8TBP5
P49639,Q3LI64
P07947,Q9UKT9-1
Q14973,Q9H0Q3-1
O95292-1,P11912-1
P25490,Q8IUG1
P60410,Q9Y223-1
Q2WGJ6,Q9BYQ4
P61165,Q15041-1
P51687,Q8NBT2
Q8IYS1,Q9NVH1-1
B8A4K4,Q2WGJ6
P08631-2,Q93062-3
P54253-1,Q14012
P50221-1,Q9UKZ1
P61978-2,Q9NYB9-2
Q6UY14-1,Q96EF6
Q8WVV5-1,Q9HC36
Q6NT76-1,Q9C086
O43597,O43741-1
O95295,Q5JTB6
Q6ZSJ9-1,Q8WUP2-1
P29033,Q3SXY8-1
Q2TAL8,Q969G2
Q9NR12-1,Q9Y242
H7C112,Q5JST6-1
Q9H7T9-1,Q9UBU9-1
Q7L273,Q9UK80-1
P17568,Q8TAU3-1
O95257,Q92600-3
A0A0C4DH14,P60411-1
P49447-1,Q04941-1
P04233-2,Q5BJF2
O43186,Q96K80
Q70EL1-9,Q8TBB1-1
Q59EK9-3,Q9Y2P0
Q8TBB1-1,Q96HT8
F6XHT0,Q9Y282-1
I3L0H3,Q9BVN2-2
O14569,Q9BRI3-1
P29033,Q9BRI3-1
Q16617,Q96MV1
Q8IYA8-1,Q9NRD5-1
Q8NFV4-4,Q9NZC7-5
A0A075B739,Q12933-1
Q8WW01-1,Q96NC0
Q53HI1,Q8IUN9-1
O00560-1,P63172
Q8WWP7,Q9GZR5
O15155-1,Q86VR2-1
O75603,Q9UBR4-2
P09234,Q93062-3
P24592,Q8TAU3-1
P78317-1,Q9H7X3
P13236,Q9NUH8-1
O95817,Q16082
B8A4K4,Q9H2F3-1
P14678-2,Q5SWW7
Q4KMG9-1,Q9P0S9
P35227,Q99496-1
P21145-1,P48165
Q8WTX7,Q96GY0
Q04941-1,Q96KR6
Q96BI1,Q9Y320-1
Q8IXB3,Q9BZJ8
Q8TD16-2,Q9NRW1-1
Q13323,Q16548-1
P32243-2,P35680-1
P04259,Q6A163
O43186,P0CW20
Q12901-1,Q99750
P29972-1,Q9NP94-1
Q86WH2-1,Q8IWB1
P61236-2,P86480
Q00059-1,Q6RW13-2
Q96B67,Q9UGI0
Q3KNR5,Q96IK5
A0A087WXA6,Q9Y2P0
P49639,Q8NE01-1
