yourlist:M202005078BC4D7ADE02784B0C2481C7F3DE0963A1A0CE37	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P54727	P54727	RD23B_HUMAN	reviewed	UV excision repair protein RAD23 homolog B (HR23B) (hHR23B) (XP-C repair-complementing complex 58 kDa protein) (p58)	RAD23B	Homo sapiens (Human)	409
P55036	P55036	PSMD4_HUMAN	reviewed	26S proteasome non-ATPase regulatory subunit 4 (26S proteasome regulatory subunit RPN10) (26S proteasome regulatory subunit S5A) (Antisecretory factor 1) (AF) (ASF) (Multiubiquitin chain-binding protein)	PSMD4 MCB1	Homo sapiens (Human)	377
Q16186	Q16186	ADRM1_HUMAN	reviewed	Proteasomal ubiquitin receptor ADRM1 (110 kDa cell membrane glycoprotein) (Gp110) (Adhesion-regulating molecule 1) (ARM-1) (Proteasome regulatory particle non-ATPase 13) (hRpn13) (Rpn13 homolog)	ADRM1 GP110	Homo sapiens (Human)	407
P0CG48	P0CG48	UBC_HUMAN	reviewed	Polyubiquitin-C [Cleaved into: Ubiquitin]	UBC	Homo sapiens (Human)	685
P54725	P54725	RD23A_HUMAN	reviewed	UV excision repair protein RAD23 homolog A (HR23A) (hHR23A)	RAD23A	Homo sapiens (Human)	363
P63098	P63098	CANB1_HUMAN	reviewed	Calcineurin subunit B type 1 (Protein phosphatase 2B regulatory subunit 1) (Protein phosphatase 3 regulatory subunit B alpha isoform 1)	PPP3R1 CNA2 CNB	Homo sapiens (Human)	170
P63208	P63208	SKP1_HUMAN	reviewed	S-phase kinase-associated protein 1 (Cyclin-A/CDK2-associated protein p19) (p19A) (Organ of Corti protein 2) (OCP-2) (Organ of Corti protein II) (OCP-II) (RNA polymerase II elongation factor-like protein) (SIII) (Transcription elongation factor B polypeptide 1-like) (p19skp1)	SKP1 EMC19 OCP2 SKP1A TCEB1L	Homo sapiens (Human)	163
P12931	P12931	SRC_HUMAN	reviewed	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	536
P08631	P08631	HCK_HUMAN	reviewed	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)	HCK	Homo sapiens (Human)	526
P62993	P62993	GRB2_HUMAN	reviewed	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217
Q13177	Q13177	PAK2_HUMAN	reviewed	Serine/threonine-protein kinase PAK 2 (EC 2.7.11.1) (Gamma-PAK) (PAK65) (S6/H4 kinase) (p21-activated kinase 2) (PAK-2) (p58) [Cleaved into: PAK-2p27 (p27); PAK-2p34 (p34) (C-t-PAK2)]	PAK2	Homo sapiens (Human)	524
P16333	P16333	NCK1_HUMAN	reviewed	Cytoplasmic protein NCK1 (NCK adaptor protein 1) (Nck-1) (SH2/SH3 adaptor protein NCK-alpha)	NCK1 NCK	Homo sapiens (Human)	377
O94875	O94875	SRBS2_HUMAN	reviewed	Sorbin and SH3 domain-containing protein 2 (Arg-binding protein 2) (ArgBP2) (Arg/Abl-interacting protein 2) (Sorbin)	SORBS2 ARGBP2 KIAA0777	Homo sapiens (Human)	1100
