From	To
P54727	ENSP00000350708
P54727	ENSP00000405623
P55036	ENSP00000357879
Q16186	ENSP00000253003
Q16186	ENSP00000478877
P0CG48	ENSP00000344818
P0CG48	ENSP00000441543
P54725	ENSP00000321365
P54725	ENSP00000467024
P54725	ENSP00000468674
P63098	ENSP00000234310
P63208	ENSP00000231487
P63208	ENSP00000429961
P63208	ENSP00000429472
P63208	ENSP00000429686
P12931	ENSP00000350941
P12931	ENSP00000362659
P12931	ENSP00000362668
P12931	ENSP00000362680
P08631	ENSP00000427757
P08631	ENSP00000429848
P08631	ENSP00000444986
P08631	ENSP00000441169
P08631	ENSP00000486627
P08631	ENSP00000491964
P62993	ENSP00000317360
P62993	ENSP00000339007
P62993	ENSP00000376345
P62993	ENSP00000376346
P62993	ENSP00000376347
P62993	ENSP00000496913
Q13177	ENSP00000314067
P16333	ENSP00000288986
P16333	ENSP00000419631
P16333	ENSP00000417273
O94875	ENSP00000284776
O94875	ENSP00000322182
O94875	ENSP00000347852
O94875	ENSP00000377162
O94875	ENSP00000397482
O94875	ENSP00000396008
O94875	ENSP00000409158
O94875	ENSP00000397262
O60504	ENSP00000240123
O60504	ENSP00000429764
Q13444	ENSP00000271836
Q13444	ENSP00000348227
Q13444	ENSP00000349436
Q13444	ENSP00000352226
Q13444	ENSP00000353892
Q13444	ENSP00000357397
Q13444	ENSP00000357398
Q13444	ENSP00000476000
Q13444	ENSP00000403843
Q13444	ENSP00000432347
Q13444	ENSP00000434227
Q13444	ENSP00000432927
O15259	ENSP00000313169
O15259	ENSP00000347452
O15259	ENSP00000376953
O15259	ENSP00000389879
Q92556	ENSP00000312185
Q92556	ENSP00000379355
Q92556	ENSP00000379360
Q92556	ENSP00000406952
Q92556	ENSP00000394458
P61925	ENSP00000336552
P61925	ENSP00000379696
P61925	ENSP00000430887
Q93100	ENSP00000299167
Q93100	ENSP00000313504
Q93100	ENSP00000456729
P10636	ENSP00000262410
P10636	ENSP00000334886
P10636	ENSP00000340438
P10636	ENSP00000340820
P10636	ENSP00000303214
P10636	ENSP00000410838
P10636	ENSP00000413056
P10636	ENSP00000389250
P10636	ENSP00000408975
P10636	ENSP00000443028
P10636	ENSP00000458742
P10636	ENSP00000460965
P10636	ENSP00000478602
P10636	ENSP00000483784
P10636	ENSP00000484491
P10636	ENSP00000484321
P10636	ENSP00000481769
P10636	ENSP00000477703
P10636	ENSP00000482244
P10636	ENSP00000479142
P10636	ENSP00000486039
P10636	ENSP00000487570
P10636	ENSP00000488373
P10636	ENSP00000487837
P10636	ENSP00000488245
P10636	ENSP00000487819
P16220	ENSP00000236995
P16220	ENSP00000405539
P16220	ENSP00000387699
P62753	ENSP00000369757
P14598	ENSP00000289473
P04792	ENSP00000248553
P04004	ENSP00000226218
P05787	ENSP00000293308
P05787	ENSP00000447402
P05787	ENSP00000449404
P05787	ENSP00000447566
P20338	ENSP00000355651
P08581	ENSP00000317272
P08581	ENSP00000380860
P08581	ENSP00000410980
P01589	ENSP00000369293
P02545	ENSP00000292304
P02545	ENSP00000357282
P02545	ENSP00000357283
P02545	ENSP00000357284
P02545	ENSP00000395597
P02545	ENSP00000421821
P20700	ENSP00000261366
P02671	ENSP00000385981
P02671	ENSP00000498441
P43487	ENSP00000327583
P43487	ENSP00000384925
O60238	ENSP00000370003
O60238	ENSP00000429851
O60238	ENSP00000428597
O60238	ENSP00000429698
P10415	ENSP00000329623
P10415	ENSP00000381185
P10415	ENSP00000466417
Q92793	ENSP00000262367
Q92793	ENSP00000371502
P06400	ENSP00000267163
O15151	ENSP00000356150
O15151	ENSP00000356151
O15151	ENSP00000396840
P04637	ENSP00000269305
P04637	ENSP00000391127
P04637	ENSP00000391478
P04637	ENSP00000398846
P04637	ENSP00000484409
P04637	ENSP00000481179
P04637	ENSP00000478499
P04637	ENSP00000478219
P04637	ENSP00000480868
P04637	ENSP00000482258
P04637	ENSP00000482537
P04637	ENSP00000481638
P04637	ENSP00000482222
O15078	ENSP00000448012
O43303	ENSP00000370803
O43303	ENSP00000379511
O43303	ENSP00000379515
O75665	ENSP00000344314
O75665	ENSP00000369923
O00444	ENSP00000270861
O00444	ENSP00000427554
O00444	ENSP00000423582
P41208	ENSP00000359300
Q14203	ENSP00000354791
Q14203	ENSP00000377571
Q14203	ENSP00000386406
Q14203	ENSP00000387270
Q14203	ENSP00000386843
Q14203	ENSP00000487724
P30622	ENSP00000303585
P30622	ENSP00000351665
P30622	ENSP00000445531
P30622	ENSP00000439093
P30622	ENSP00000479322
Q15154	ENSP00000327077
O14777	ENSP00000261597
Q15468	ENSP00000353544
Q15468	ENSP00000360944
O75161	ENSP00000367398
O75161	ENSP00000423747
O75161	ENSP00000481831
Q3B820	ENSP00000385158
Q3B820	ENSP00000385893
O15182	ENSP00000283122
Q8NBT0	ENSP00000296484
Q8NBT0	ENSP00000378421
Q8NBT0	ENSP00000418968
Q8TC44	ENSP00000323302
Q8TC44	ENSP00000447916
Q8TES7	ENSP00000465132
Q8TES7	ENSP00000490726
Q92834	ENSP00000343671
Q92834	ENSP00000418926
Q92834	ENSP00000419276
Q92834	ENSP00000493468
Q92834	ENSP00000494557
Q92834	ENSP00000495537
Q1MSJ5	ENSP00000262210
Q1MSJ5	ENSP00000430092
O95684	ENSP00000230248
O95684	ENSP00000355812
Q8TC07	ENSP00000318262
Q8TC07	ENSP00000420678
