yourlist:M20200510216DA2B77BFBD2E6699CA9B6D1C41EB286EFE0C	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
A0A087WXN0	A0A087WXN0	A0A087WXN0_HUMAN	unreviewed	IQ domain-containing protein N	IQCN	Homo sapiens (Human)	794
Q68D86-1	Q68D86	C102B_HUMAN	reviewed	Coiled-coil domain-containing protein 102B	CCDC102B C18orf14	Homo sapiens (Human)	513
Q13515	Q13515	BFSP2_HUMAN	reviewed	Phakinin (49 kDa cytoskeletal protein) (Beaded filament structural protein 2) (Lens fiber cell beaded filament protein CP 47) (CP47) (Lens fiber cell beaded filament protein CP 49) (CP49) (Lens intermediate filament-like light) (LIFL-L)	BFSP2	Homo sapiens (Human)	415
P30049	P30049	ATPD_HUMAN	reviewed	ATP synthase subunit delta, mitochondrial (ATP synthase F1 subunit delta) (F-ATPase delta subunit)	ATP5F1D ATP5D	Homo sapiens (Human)	168
P0DPK4	P0DPK4	NT2NC_HUMAN	reviewed	Notch homolog 2 N-terminal-like protein C	NOTCH2NLC	Homo sapiens (Human)	236
P57771-2	P57771	RGS8_HUMAN	reviewed	Regulator of G-protein signaling 8 (RGS8)	RGS8	Homo sapiens (Human)	180
Q12981-4	Q12981	SEC20_HUMAN	reviewed	Vesicle transport protein SEC20 (BCL2/adenovirus E1B 19 kDa protein-interacting protein 1) (Transformation-related gene 8 protein) (TRG-8)	BNIP1 NIP1 SEC20L TRG8	Homo sapiens (Human)	228
P49639	P49639	HXA1_HUMAN	reviewed	Homeobox protein Hox-A1 (Homeobox protein Hox-1F)	HOXA1 HOX1F	Homo sapiens (Human)	335
P07947	P07947	YES_HUMAN	reviewed	Tyrosine-protein kinase Yes (EC 2.7.10.2) (Proto-oncogene c-Yes) (p61-Yes)	YES1 YES	Homo sapiens (Human)	543
Q14973	Q14973	NTCP_HUMAN	reviewed	Sodium/bile acid cotransporter (Cell growth-inhibiting gene 29 protein) (Na(+)/bile acid cotransporter) (Na(+)/taurocholate transport protein) (Sodium/taurocholate cotransporting polypeptide) (Solute carrier family 10 member 1)	SLC10A1 NTCP GIG29	Homo sapiens (Human)	349
O95292-1	O95292	VAPB_HUMAN	reviewed	Vesicle-associated membrane protein-associated protein B/C (VAMP-B/VAMP-C) (VAMP-associated protein B/C) (VAP-B/VAP-C)	VAPB UNQ484/PRO983	Homo sapiens (Human)	243
P25490	P25490	TYY1_HUMAN	reviewed	Transcriptional repressor protein YY1 (Delta transcription factor) (INO80 complex subunit S) (NF-E1) (Yin and yang 1) (YY-1)	YY1 INO80S	Homo sapiens (Human)	414
P60410	P60410	KR108_HUMAN	reviewed	Keratin-associated protein 10-8 (High sulfur keratin-associated protein 10.8) (Keratin-associated protein 10.8) (Keratin-associated protein 18-8) (Keratin-associated protein 18.8)	KRTAP10-8 KAP10.8 KAP18-8 KRTAP10.8 KRTAP18-8 KRTAP18.8	Homo sapiens (Human)	259
Q2WGJ6	Q2WGJ6	KLH38_HUMAN	reviewed	Kelch-like protein 38	KLHL38 C8orfK36	Homo sapiens (Human)	581
P61165	P61165	TM258_HUMAN	reviewed	Transmembrane protein 258 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit TMEM258) (Oligosaccharyl transferase subunit TMEM258)	TMEM258 C11orf10 HSPC005	Homo sapiens (Human)	79
P51687	P51687	SUOX_HUMAN	reviewed	Sulfite oxidase, mitochondrial (EC 1.8.3.1)	SUOX	Homo sapiens (Human)	545
Q8IYS1	Q8IYS1	P20D2_HUMAN	reviewed	Peptidase M20 domain-containing protein 2 (Aminoacylase-1-like protein 2)	PM20D2 ACY1L2	Homo sapiens (Human)	436
B8A4K4	B8A4K4	B8A4K4_HUMAN	unreviewed	Cysteine-rich tail protein 1	CYSRT1	Homo sapiens (Human)	184
P08631-2	P08631	HCK_HUMAN	reviewed	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)	HCK	Homo sapiens (Human)	526
P54253-1	P54253	ATX1_HUMAN	reviewed	Ataxin-1 (Spinocerebellar ataxia type 1 protein)	ATXN1 ATX1 SCA1	Homo sapiens (Human)	815
P50221-1	P50221	MEOX1_HUMAN	reviewed	Homeobox protein MOX-1 (Mesenchyme homeobox 1)	MEOX1 MOX1	Homo sapiens (Human)	254
P61978-2	P61978	HNRPK_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein K (hnRNP K) (Transformation up-regulated nuclear protein) (TUNP)	HNRNPK HNRPK	Homo sapiens (Human)	463
Q6UY14-1	Q6UY14	ATL4_HUMAN	reviewed	ADAMTS-like protein 4 (ADAMTSL-4) (Thrombospondin repeat-containing protein 1)	ADAMTSL4 TSRC1 PP1396 UNQ2803/PRO34012	Homo sapiens (Human)	1074
Q8WVV5-1	Q8WVV5	BT2A2_HUMAN	reviewed	Butyrophilin subfamily 2 member A2	BTN2A2 BT2.2 BTF2	Homo sapiens (Human)	523
Q6NT76-1	Q6NT76	HMBX1_HUMAN	reviewed	Homeobox-containing protein 1 (Homeobox telomere-binding protein 1) (Telomere-associated homeobox-containing protein 1)	HMBOX1 HOT1 TAH1	Homo sapiens (Human)	420
O43597	O43597	SPY2_HUMAN	reviewed	Protein sprouty homolog 2 (Spry-2)	SPRY2	Homo sapiens (Human)	315
